其他地区,#genre#
CCTV-1综合,http://183.207.248.71:80/cntv/live1/CCTV-1/cctv-1
CCTV-2财经,http://183.207.248.71:80/cntv/live1/CCTV-2/cctv-2
CCTV-3综艺,http://183.207.248.71:80/cntv/live1/CCTV-3/cctv-3
CCTV-4中文国际,http://183.207.248.71:80/cntv/live1/CCTV-4/cctv-4
CCTV-5体育,http://183.207.248.71:80/cntv/live1/CCTV-5/cctv-5
CCTV-5+体育赛事,http://183.207.248.71:80/cntv/live1/CCTV5+/hdcctv05plus
CCTV-6电影,http://183.207.248.71:80/cntv/live1/CCTV-6/cctv-6
CCTV-7军事 农业,http://183.207.248.71:80/cntv/live1/CCTV-7/cctv-7
CCTV-8电视剧,http://183.207.248.71:80/cntv/live1/CCTV-8/cctv-8
CCTV-9纪录,http://183.207.248.71:80/cntv/live1/CCTV-9/cctv-news
CCTV-10科教,http://183.207.248.71:80/cntv/live1/CCTV-10/cctv-10
CCTV-11戏曲,http://183.207.248.71:80/cntv/live1/CCTV-11/cctv-11
CCTV-12社会与法,http://183.207.248.71:80/cntv/live1/CCTV-12/cctv-12
CCTV-13新闻,http://183.207.248.71:80/cntv/live1/CCTV-13/cctv-13
CCTV-14少儿,http://183.207.248.71:80/cntv/live1/CCTV-14/cctv-14
CCTV-15音乐,http://183.207.248.71:80/cntv/live1/CCTV-15/cctv-15
江苏卫视,http://183.207.248.71:80/cntv/live1/江苏卫视/jiangsustv
浙江卫视,http://183.207.248.71:80/cntv/live1/浙江卫视/zhejiangstv
北京卫视,http://183.207.248.71:80/cntv/live1/北京卫视/beijingstv
湖南卫视,http://183.207.248.71:80/cntv/live1/湖南卫视/hunanstv
广东卫视,http://183.207.248.71:80/cntv/live1/广东卫视/guangdongstv
东方卫视,http://183.207.248.71:80/cntv/live1/东方卫视/dongfangstv
黑龙江卫视,http://183.207.248.71:80/cntv/live1/黑龙江卫视/HD-2500k-1080P-heilongjiangstv
深圳卫视,http://183.207.248.71:80/cntv/live1/深圳卫视/shenzhenstv
山东卫视,http://183.207.248.71:80/cntv/live1/山东卫视/shandongstv
天津卫视,http://183.207.248.71:80/cntv/live1/天津卫视/tianjinstv
湖北卫视,http://183.207.248.71:80/cntv/live1/湖北卫视/hubeistv
重庆卫视,http://183.207.248.71:80/cntv/live1/重庆卫视/chongqingstv
安徽卫视,http://183.207.248.71:80/cntv/live1/安徽卫视/anhuistv
江西卫视,http://183.207.248.71:80/cntv/live1/江西卫视/jiangxistv
辽宁卫视,http://183.207.248.71:80/cntv/live1/辽宁卫视超高清/liaoningstv
东南卫视,http://183.207.248.71:80/cntv/live1/东南卫视/dongnanstv
四川卫视,http://183.207.248.71:80/cntv/live1/四川卫视/sichuanstv
广西卫视,http://183.207.248.71:80/cntv/live1/广西卫视/guangxistv
河北卫视,http://183.207.248.71:80/cntv/live1/河北卫视/hebeistv
山西卫视,http://183.207.248.71:80/cntv/live1/山西卫视/shanxistv
陕西卫视,http://183.207.248.71:80/cntv/live1/陕西卫视/shanxi1stv
贵州卫视,http://183.207.248.71:80/cntv/live1/贵州卫视/guizhoustv
青海卫视,http://183.207.248.71:80/cntv/live1/青海卫视/qinghaistv
宁夏卫视,http://183.207.248.71:80/cntv/live1/宁夏卫视/ningxiastv
甘肃卫视,http://183.207.248.71:80/cntv/live1/甘肃卫视/gansustv
内蒙古卫视,http://183.207.248.71:80/cntv/live1/内蒙古卫视/neimenggustv
新疆卫视,http://183.207.248.71:80/cntv/live1/新疆卫视/xjtv1
云南卫视,http://183.207.248.71:80/cntv/live1/云南卫视/yntv1
西藏卫视,http://183.207.248.71:80/cntv/live1/西藏卫视/xizangstv
中国教育-1,http://183.207.248.71:80/cntv/live1/中国教育-1/jiaoyutv
北京纪实频道,http://183.207.248.71:80/cntv/live1/北京纪实频道超高清/HD-8000k-1080P-beijingjishi
上海纪实频道,http://183.207.248.71:80/cntv/live1/上海纪实频道超高清/HD-8000k-1080P-shanghaijishi
金鹰卡通,http://183.207.248.71:80/cntv/live1/金鹰卡通/jinyingkaton
卡酷少儿,http://183.207.248.71:80/cntv/live1/卡酷少儿/kakukaton
山东教育,http://183.207.248.71:80/cntv/live1/山东教育/shandongjy
优漫卡通,http://183.207.248.71:80/cntv/live1/优漫卡通/youmankaton
炫动卡通,http://183.207.248.71:80/cntv/live1/炫动卡通/xuandongkaton
动画王国,http://183.207.248.71:80/cntv/live1/动画王国/donghuawg
